gameId,team,season,name,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
2019020006,NYR,2019,NYR,NYR,WPG,HOME,2019-10-03,Team Level,all,0.4453,0.3864,0.3942,3600.0,29.714000000000002,2.903,1.9869999999999999,6.638,1.028,16.272000000000002,12.173,2.8810000000000002,2.845,2.824,32.0,9.0,10.0,51.0,6.0,2.0,1.0,6.0,2.0,12.0,13.0,26.0,35.0,5.0,10.0,28.0,24.0,13.0,24.0,30.0,9.0,2.0,0.973,1.124,0.8059999999999999,2.0,2.0,2.0,50.07899999999999,41.0,40.549,15.0,0.424,0.209,0.209,3.1180000000000003,3.05,3.029,45.878,3.616,3.0,11.213,1.5419999999999998,25.12,18.51,3.5469999999999997,3.7260000000000004,3.654,47.0,16.0,18.0,81.0,4.0,7.0,0.0,8.0,1.0,18.0,25.0,43.0,59.0,1.0,2.0,32.0,31.0,5.0,11.0,52.0,7.0,4.0,1.062,0.9790000000000001,1.575,1.0,2.0,1.0,82.26799999999999,63.0,63.802,8.0,0.664,0.759,0.759,3.52,3.628,3.6,0
2019020020,NYR,2019,NYR,NYR,OTT,AWAY,2019-10-05,Team Level,all,0.5328,0.4884,0.4884,3600.0,29.475,2.7889999999999997,1.7519999999999998,6.318,0.9740000000000001,16.323,13.844000000000001,2.772,2.907,2.889,30.0,12.0,21.0,63.0,4.0,1.0,1.0,5.0,3.0,14.0,15.0,26.0,38.0,5.0,10.0,40.0,22.0,5.0,11.0,37.0,3.0,2.0,0.8390000000000001,0.45,1.5,0.0,2.0,2.0,68.314,42.0,44.9,9.0,0.374,0.907,0.907,2.256,2.397,2.3890000000000002,32.749,2.4459999999999997,2.355,8.47,1.088,17.484,12.155999999999999,2.346,2.283,2.185,32.0,12.0,22.0,66.0,1.0,6.0,0.0,9.0,5.0,18.0,5.0,31.0,43.0,3.0,6.0,20.0,37.0,4.0,12.0,34.0,6.0,4.0,0.9209999999999999,0.6409999999999999,0.884,0.0,1.0,0.0,60.481,44.0,40.745,8.0,0.51,0.871,0.871,2.086,1.965,1.911,0
2019020061,NYR,2019,NYR,NYR,EDM,HOME,2019-10-12,Team Level,all,0.3725,0.402,0.3902,3600.0,22.455,2.16,1.6219999999999999,5.135,0.779,13.689,8.615,2.0909999999999997,2.109,2.04,21.0,11.0,9.0,41.0,1.0,1.0,0.0,5.0,0.0,13.0,12.0,20.0,31.0,2.0,4.0,28.0,21.0,9.0,22.0,24.0,7.0,1.0,0.9470000000000001,0.897,0.316,0.0,1.0,0.0,40.366,32.0,31.451,8.0,0.397,0.316,0.316,2.241,2.208,2.129,35.784,3.638,2.131,7.968999999999999,1.238,19.13,15.894,3.5989999999999998,3.738,3.698,27.0,23.0,11.0,61.0,4.0,3.0,0.0,7.0,5.0,18.0,13.0,23.0,46.0,4.0,8.0,28.0,18.0,8.0,15.0,41.0,4.0,5.0,0.9990000000000001,0.526,2.113,2.0,0.0,2.0,62.678000000000004,50.0,51.251999999999995,7.0,0.475,0.478,0.478,3.636,3.73,3.707,0
2019020100,NYR,2019,NYR,NYR,N.J,AWAY,2019-10-17,Team Level,all,0.4887,0.4815,0.4946,3600.0,33.234,3.238,2.076,7.099,0.99,18.384,14.214,2.623,3.282,2.667,31.0,15.0,6.0,52.0,2.0,1.0,1.0,6.0,2.0,13.0,22.0,29.0,44.0,9.0,18.0,32.0,11.0,7.0,7.0,37.0,5.0,4.0,1.021,0.541,1.676,1.0,0.0,1.0,51.934,46.0,46.056999999999995,4.0,0.465,0.209,0.209,3.4939999999999998,3.528,2.897,34.256,3.388,2.057,7.541,1.064,18.257,14.693,3.3569999999999998,3.3680000000000003,3.338,38.0,9.0,9.0,56.0,5.0,0.0,0.0,6.0,2.0,11.0,23.0,33.0,42.0,7.0,14.0,25.0,18.0,12.0,8.0,34.0,11.0,2.0,1.251,1.225,0.9109999999999999,1.0,3.0,1.0,56.405,47.0,47.232,3.0,0.46399999999999997,0.0,0.0,3.852,3.8289999999999997,3.793,0
2019020109,NYR,2019,NYR,NYR,WSH,AWAY,2019-10-18,Team Level,all,0.3393,0.4444,0.4828,3600.0,29.984,2.9389999999999996,2.221,7.287999999999999,0.986,17.566,10.999,2.6069999999999998,2.924,2.596,28.0,14.0,10.0,52.0,2.0,5.0,0.0,7.0,0.0,17.0,11.0,26.0,40.0,7.0,18.0,28.0,19.0,6.0,4.0,31.0,5.0,6.0,0.6,0.498,1.8419999999999999,0.0,0.0,2.0,50.864,42.0,41.028,3.0,0.525,0.9420000000000001,0.9420000000000001,2.522,2.5180000000000002,2.448,34.375,5.722,2.662,7.65,1.276,16.085,11.606,5.272,5.715,5.265,36.0,9.0,20.0,65.0,5.0,8.0,2.0,5.0,1.0,14.0,12.0,31.0,40.0,6.0,18.0,27.0,22.0,7.0,11.0,18.0,20.0,7.0,0.6829999999999999,2.562,2.477,0.0,3.0,2.0,66.994,45.0,46.303999999999995,7.0,0.5870000000000001,1.9569999999999999,1.9569999999999999,4.353,4.34,4.118,0
2019020124,NYR,2019,NYR,NYR,VAN,HOME,2019-10-20,Team Level,all,0.439,0.4357,0.4248,3600.0,34.187,2.714,2.6239999999999997,7.319,1.058,20.009,13.341,2.6060000000000003,2.522,2.423,39.0,9.0,13.0,61.0,2.0,4.0,0.0,7.0,0.0,17.0,18.0,37.0,46.0,3.0,6.0,14.0,22.0,10.0,22.0,37.0,10.0,1.0,1.196,1.311,0.207,1.0,1.0,0.0,56.172,48.0,44.474,9.0,0.5539999999999999,0.525,0.46,2.7430000000000003,2.563,2.49,46.055,3.468,3.158,11.210999999999999,1.521,25.933000000000003,19.709,3.2260000000000004,3.793,3.528,43.0,22.0,14.0,79.0,3.0,7.0,0.0,7.0,0.0,22.0,26.0,40.0,62.0,3.0,6.0,29.0,22.0,10.0,10.0,54.0,7.0,4.0,1.331,0.759,1.3769999999999998,2.0,0.0,1.0,88.443,65.0,71.322,7.0,0.696,0.9620000000000001,0.9620000000000001,3.202,3.487,3.347,0
2019020136,NYR,2019,NYR,NYR,ARI,HOME,2019-10-22,Team Level,all,0.3825,0.3704,0.3896,3664.0,21.201,2.015,1.557,4.814,0.684,12.282,8.647,1.956,1.9269999999999998,1.87,19.0,11.0,10.0,40.0,2.0,1.0,1.0,4.0,0.0,12.0,11.0,17.0,28.0,5.0,10.0,26.0,26.0,9.0,24.0,22.0,6.0,2.0,0.743,0.716,0.556,0.0,1.0,1.0,38.29,30.0,28.758000000000003,12.0,0.35100000000000003,0.354,0.354,2.011,1.925,1.8880000000000001,33.111,3.253,2.52,7.875,1.18,19.104,13.068,3.167,3.408,3.315,35.0,12.0,21.0,68.0,3.0,4.0,1.0,10.0,0.0,20.0,10.0,32.0,44.0,1.0,2.0,24.0,11.0,7.0,15.0,36.0,6.0,5.0,0.752,0.8440000000000001,1.6569999999999998,1.0,0.0,2.0,70.775,47.0,48.845,3.0,0.586,0.9520000000000001,0.9520000000000001,2.887,3.0069999999999997,2.9419999999999997,0
2019020147,NYR,2019,NYR,NYR,BUF,HOME,2019-10-24,Team Level,all,0.6514,0.3738,0.4375,3600.0,25.901999999999997,2.22,1.56,5.547999999999999,0.82,13.597999999999999,11.255,2.218,2.228,2.226,24.0,11.0,5.0,40.0,6.0,0.0,0.0,6.0,1.0,8.0,14.0,18.0,29.0,4.0,8.0,18.0,34.0,13.0,17.0,26.0,7.0,2.0,0.794,0.9390000000000001,0.48700000000000004,3.0,2.0,1.0,42.593999999999994,35.0,35.968,9.0,0.34,0.0,0.0,2.56,2.57,2.568,31.92,1.188,2.19,8.03,1.055,18.241,14.296,1.18,1.178,1.17,33.0,12.0,22.0,67.0,2.0,2.0,0.0,3.0,0.0,17.0,21.0,31.0,43.0,3.0,6.0,26.0,28.0,13.0,13.0,43.0,2.0,0.0,0.995,0.193,0.0,2.0,0.0,0.0,63.879,45.0,44.096000000000004,5.0,0.495,0.027000000000000003,0.027000000000000003,1.655,1.643,1.6280000000000001,0
2019020174,NYR,2019,NYR,NYR,BOS,HOME,2019-10-27,Team Level,all,0.4806,0.4215,0.4194,3600.0,29.590999999999998,3.6,2.201,7.468,1.079,14.367,10.285,3.373,3.443,3.222,29.0,10.0,12.0,51.0,4.0,6.0,3.0,11.0,1.0,12.0,5.0,25.0,35.0,3.0,6.0,33.0,21.0,4.0,25.0,24.0,10.0,5.0,0.47600000000000003,1.484,1.64,0.0,2.0,2.0,46.917,39.0,36.167,11.0,0.503,1.632,1.632,2.471,2.309,2.254,38.606,3.89,2.617,8.691,1.2409999999999999,20.877,16.684,3.826,4.102,4.0360000000000005,43.0,11.0,16.0,70.0,7.0,2.0,1.0,5.0,5.0,18.0,17.0,36.0,47.0,6.0,12.0,35.0,15.0,5.0,13.0,42.0,7.0,5.0,1.1079999999999999,0.885,1.8969999999999998,3.0,2.0,2.0,76.771,54.0,58.342,7.0,0.5670000000000001,0.077,0.077,4.38,4.623,4.55,0
2019020181,NYR,2019,NYR,NYR,T.B,HOME,2019-10-29,Team Level,all,0.7178,0.5,0.5253,3600.0,37.075,3.449,2.384,8.405,1.274,21.180999999999997,15.307,3.411,3.378,3.341,42.0,10.0,10.0,62.0,4.0,3.0,1.0,9.0,2.0,16.0,18.0,38.0,48.0,3.0,9.0,31.0,20.0,12.0,14.0,43.0,7.0,2.0,1.391,0.903,1.155,1.0,1.0,2.0,60.419,52.0,50.68899999999999,7.0,0.517,0.621,0.621,3.345,3.273,3.2539999999999996,32.399,1.3559999999999999,2.079,7.9110000000000005,1.018,20.385,14.251,1.341,1.416,1.401,30.0,17.0,15.0,62.0,1.0,0.0,0.0,11.0,1.0,22.0,12.0,29.0,46.0,5.0,13.0,36.0,21.0,11.0,11.0,44.0,3.0,0.0,1.037,0.318,0.0,0.0,1.0,0.0,63.693999999999996,47.0,48.123999999999995,6.0,0.444,0.0,0.0,1.8,1.875,1.8530000000000002,0
