playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2019,Ilya Lyubushkin,ARI,D,other,51,327,7,4.58,0.24,0.48,0.29,0.41,0.29,0.37,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,1,3,0,0,0,7,0,0,1869,0,0,0,0,1.39,0.09,0.09,0.09,0.09,2,0,0,2,0,0,0,2,0,0,0.09,0,0,0,0,0,2,2,2,0.03,0,0,0.13,0.13,0.13,3.47,0.3,0.3,0.3,0.3,3,2,0,5,0,0,0,4,1,0,0.2,0.1,0,0,0,0,5,5,5,0.07,0,0,0.37,0.37,0.37,3.57,3.91,31,44,0,0,1,0,0,0
8480950,2019,Ilya Lyubushkin,ARI,D,all,51,43351,989,7.43,0.57,0.48,0.49,0.5,0.48,0.49,284,40.96,1.55,2.32,10.88,1.4,24.83,19.01,1.5,1.55,1.5,3,1,41,19,30,90,4,0,5,0,8,3,24,20,41,60,9,18,0,150,13,20,57,2,1,1.04,0.23,0.28,0,0,0,90.76,60,59.94,18,0.46,1.19,0.28,1.74,1.73,1.69,989,102,93,129,665,138,142,105,604,0,0,142626,18,8,4,54,366.92,34.79,33.28,34.83,33.34,364,138,164,666,27,36,7,359,100,43,9.83,12.58,12.39,7,11,9,667.16,502,502.15,5.12,9.13,9.23,30.62,30.77,30.23,379.11,26.17,25.63,26.12,25.58,387,148,160,695,25,20,4,437,83,15,12.1,9.26,4.81,10,9,6,694.4,535,534.91,4.86,3.38,3.38,27.66,27.57,27.26,112.43,120.27,2243,2276,0,0,0,0,0,0
8480950,2019,Ilya Lyubushkin,ARI,D,5on5,51,42523,958,7.43,0.58,0.47,0.49,0.49,0.49,0.49,250,40.96,1.55,2.32,10.88,1.4,24.83,19.01,1.5,1.55,1.5,3,1,41,19,30,90,4,0,5,0,8,3,24,20,41,60,9,18,0,147,13,20,57,2,1,1.04,0.23,0.28,0,0,0,90.76,60,59.94,18,0.46,1.19,0.28,1.74,1.73,1.69,958,100,86,127,645,136,138,101,583,0,0,109490,18,8,4,54,363.96,34.05,32.55,34.09,32.6,361,137,164,662,27,36,7,357,99,42,9.73,12.46,11.86,7,11,9,663.16,498,498.15,5.04,9.13,9.23,29.8,29.95,29.42,366.63,24.85,24.32,24.8,24.27,373,144,159,676,24,20,4,422,81,14,11.72,9.06,4.07,10,9,5,675.4,517,516.91,4.62,3.38,3.38,26.11,26.02,25.71,72.49,80.17,1689,1762,3.2,0.24,87,9,74,7
8480950,2019,Ilya Lyubushkin,ARI,D,4on5,51,454,20,5.6,0,0.3,0,0.2,0,0.24,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,4,1,14,2,4,2,12,0,0,4902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,1.02,1.01,1.02,1.01,11,2,1,14,1,0,0,11,1,1,0.17,0.1,0.74,0,0,1,14,13,13,0.17,0,0,1.18,1.18,1.18,1.92,4.5,29,115,0,0.01,0,1,0,1
8480950,2019,Ilya Lyubushkin,ARI,D,5on4,51,47,4,2.07,1,0.81,1,0.76,1,0.76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,2,2,0,0,1102,0,0,0,0,0.84,0.53,0.52,0.53,0.52,0,1,0,1,0,0,0,0,0,1,0,0,0.53,0,0,0,1,1,1,0.02,0,0,0.55,0.55,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.38,25,8,0,0,0,0,0,0
8470144,2019,Frans Nielsen,DET,C,other,60,1495,32,3.87,0.48,0.35,0.45,0.46,0.46,0.47,164,2.74,0.81,0.29,0.66,0.1,0.68,0.46,0.71,0.81,0.71,0,0,2,1,1,4,0,0,1,0,1,0,1,0,2,3,0,0,4,0,1,1,0,1,2,0,0.13,0.68,0,0,0,4,3,3,0,0.08,0.3,0.68,0.21,0.21,0.2,32,6,2,3,21,3,4,2,23,4,4,4696,0,0,0,0,12.01,3.31,3.19,3.31,3.19,10,7,6,23,2,3,0,8,3,6,0.35,0.32,2.64,1,0,1,23,17,17,0.27,1.01,1.01,2.5,2.5,2.48,13.25,3.6,3.56,3.6,3.56,15,5,8,28,2,2,0,11,4,5,0.44,0.39,2.77,0,0,2,28,20,20,0.3,0.35,0.35,3.42,3.42,3.41,6.52,12.14,66,77,0.04,0,1,0,1,0
8470144,2019,Frans Nielsen,DET,C,all,60,49209,1164,6.08,0.36,0.43,0.41,0.47,0.41,0.47,465,82.22,8.11,5.3,18.27,2.66,40.82,32.84,7.69,7.96,7.56,3,1,86,22,20,128,8,4,4,1,15,4,35,46,82,104,4,8,210,44,11,15,75,19,14,1.76,2.4,3.95,0,0,4,123.7,108,105.51,6,1.2,1.06,3,6.31,6.22,6.17,1164,108,194,203,659,163,155,143,703,210,247,168319,8,12,5,35,315.13,26.24,25.48,25.73,24.99,326,111,131,568,17,22,1,340,66,31,8.85,7.99,9.4,6,4,7,550.11,437,425.97,4.47,5.31,5.31,25.26,24.78,24.55,446.03,45.97,43.3,46.67,43.98,448,170,188,806,43,47,10,457,108,53,12.6,12.83,20.54,14,9,20,828.32,618,631.21,7.67,11.5,11.29,42.15,42.75,41.59,113.63,152.09,2336,2595,0,0,0,0,0,0
8470144,2019,Frans Nielsen,DET,C,5on5,60,38098,892,6.08,0.4,0.46,0.45,0.47,0.45,0.47,500,64.28,4.76,3.6,15.06,1.97,33.77,26.84,4.56,4.62,4.43,1,0,70,16,19,105,4,3,1,1,13,3,28,38,67,83,4,8,191,42,9,12,68,11,7,1.57,1.23,1.97,0,0,3,100.7,86,83.51,5,0.74,0.34,1.3,4.2,4.11,4.1,892,75,132,182,503,138,118,102,534,191,217,134796,8,10,4,29,254.39,17.59,17.14,17.09,16.66,270,84,106,460,10,14,1,292,43,19,7.32,5.07,5.21,4,2,4,442.11,354,342.97,3.19,3.02,3.29,17.43,16.94,16.84,309.54,26.85,25.84,27.55,26.52,313,115,138,566,25,30,6,326,72,30,9.43,8.48,8.94,10,7,8,588.32,428,441.21,4.28,6.93,6.77,24.3,24.89,24.52,81.38,94.2,1833,2074,1.19,1.6,31,24,25,19
8470144,2019,Frans Nielsen,DET,C,4on5,60,6208,163,6.48,0.08,0.08,0.08,0.14,0.09,0.16,178,5.78,0.89,0.48,0.76,0.25,1.5,3.13,0.86,0.89,0.86,1,0,6,1,0,7,2,1,1,0,1,0,0,4,5,6,0,0,6,2,1,1,3,1,3,0.1,0.12,0.66,0,0,1,7,7,7,1,0.11,0.23,0.23,0.77,0.77,0.77,163,2,56,10,95,8,27,26,102,6,11,11053,0,0,0,1,12.6,1.38,1.35,1.38,1.35,14,2,1,17,2,1,0,10,3,3,0.34,0.37,0.66,0,1,1,17,16,16,0.19,0.23,0.23,1.34,1.34,1.34,115.69,15.24,13.63,15.24,13.63,111,48,39,198,16,15,4,110,31,18,2.57,3.85,8.82,4,2,10,198,159,159,2.97,4.22,4.17,14.05,14.05,13.28,2.54,27.7,46,277,0,0,0,0,0,0
8470144,2019,Frans Nielsen,DET,C,5on4,60,3408,77,5.94,0.96,0.68,0.85,0.79,0.85,0.76,225,9.42,1.64,0.94,1.8,0.33,4.88,2.41,1.56,1.64,1.56,1,1,8,4,0,12,2,0,1,0,0,1,6,4,8,12,0,0,8,0,0,1,4,6,2,0.08,0.92,0.64,0,0,0,12,12,12,0,0.26,0.19,0.78,1.12,1.12,1.1,77,25,4,8,40,14,6,13,44,8,7,8478,0,2,1,3,36.14,3.95,3.8,3.95,3.8,32,18,18,68,3,4,0,30,17,3,0.84,2.23,0.88,1,1,1,68,50,50,0.81,1.05,0.78,3.98,3.98,3.88,6.2,0.16,0.15,0.16,0.15,8,1,3,12,0,0,0,9,0,0,0.16,0,0,0,0,0,12,9,9,0.06,0,0,0.21,0.21,0.21,10.68,4.92,193,50,0,0,0,1,0,0
